item,categoria,referencias,cantidad,valor,encapsulado,alternativa_1,alternativa_2,critico,notas_disponibilidad
25,Pasivo,"Rn1 (9)",9,"1M 1% 0805",0805,"1M 0603 (si se confirma <=50 V tras el piezo - NO recomendado)",-,si,"En paralelo con el piezo: ve la tension completa."
26,Pasivo,"Cn1 (9)",9,"47n X7R 50 V",0603,"2 x 22n en paralelo","47n 0805",si,"Define tau = 10.34 ms. NP0 seria mejor (menor deriva) pero el tamano crece."
27,Pasivo,"Rn4 (9)",9,"220k 1%",0603,-,-,si,"Con Cn1 define la constante de envolvente."
28,Pasivo,"Rn5;Rn6;Rn7 (27)",27,"10k / 1M / 10k 1%",0603,-,-,si,"Rn5 y Rn6 definen la histeresis (33.0 mV)."
29,Pasivo,R25-R28,4,"49R9 1%",0603,"49R9 0402","100R 1% (par en paralelo)",si,"Tolerancia 1% obligatoria para la terminacion Ethernet."
30,Pasivo,C23,1,"10 nF / 2 kV X7R",1206,"10 nF / 3 kV 1808","2 x 22 nF / 1 kV en serie",si,"La tension de 2 kV es el aislamiento del puerto. Un 50 V NO sirve."
31,Pasivo,R60-R62,3,"470R 1%",0603,330R,-,si,"Rango 330-470 ohm del dosier 10.3. Colocar a <10 mm del 74AHCT125."
32,Pasivo,Y1,1,"Cristal 25.000 MHz +-30 ppm CL 12 pF",3225,"Cristal 25 MHz 5032","Oscilador MEMS 25 MHz",si,"Obligatorio para el W5500. Los 22 pF de carga deben ajustarse a CL real."
33,Pasivo,FB1;L20,2,"Ferrita 600 ohm @100 MHz >=500 mA",0805,BLM21PG600SN1,-,si,"Aislan +3V3A y +3V3_ETH."
34,Pasivo,F60-F62,3,"PTC rearmable Ihold 2.0 A Itrip 4.0 A / 6 V",1812,"MF-MSMF200","Fusible de vidrio 2 A (no rearmable)",si,"Resistencia de 25-50 mohm que se suma a la caida. Verificar."
35,Pasivo,L1,1,"10 uH / 3 A",1210,-,-,no,
36,Pasivo,"resistencias generales",~40,"varios 0603 1%",0603,-,-,no,"10k, 100k, 22R, 100R, 330R, 1k, 1k5, 22k, 47k, 4k7."
37,Pasivo,"condensadores generales",~45,"varios 100n / 1u / 10u / 22u",0402/0603/0805,-,-,no,"Al menos 1 x 100n por pin de alimentacion de cada CI."
38,Electromecanico,F1,1,"Fusible T 3.15 A 250 V + portafusibles","THT 5x20","T 3 A","T 4 A (mas margen, menos proteccion)",si,"Calculo: 2.26 A nominal -> 3.15 A ~ 140%."
39,Electromecanico,SW1,1,"Interruptor bipolar 250 V / 6 A con piloto",Panel,-,-,si,"Dosier 11.3."
40,Electromecanico,SW70,1,"Selector rotativo 1 polo 3 posiciones con tope",Panel,"Conmutador deslizante 3 posiciones",-,si,"Dosier 6.3."
41,Electromecanico,SW71,1,"Pulsador NA 12 mm",Panel,"Pulsador tactil con capuchon",-,no,
42,Electromecanico,"SW_RST;SW_BOOT",2,"Pulsador tactil 6x6",SMD/THT,-,-,no,
43,Electromecanico,NTC1,1,"NTC 10 ohm / 2 A inrush limiter",THT,-,-,no,
44,Conector,J1,1,"Bornero bloqueable 2 vias 5.08 mm >=8 A",THT,"XT30 (RECOMENDADO: inversion mecanicamente imposible)","Phoenix MSTB 2.5",si,
45,Conector,J2,1,"RJ45 con magnetismos y LED",THT,HR911105A,J0011D01BNL,si,"Verificar si termina internamente los pares no usados antes de duplicar la terminacion."
46,Conector,J10-J12,3,"JST VH 4 vias 3.96 mm (7 A/via)",THT,"JST VH 5 vias (retorno doblado)","Bornero de tornillo 4 vias 5.08 mm",si,"Pin 4 (retorno) lleva 1.44 A - el mas cargado."
47,Conector,J13-J15,3,"JST VH 2 vias 3.96 mm",THT,-,-,no,"Reinyeccion en el extremo lejano."
48,Conector,J20-J22,3,"JST XH 6 vias 2.50 mm",THT,"Molex KK 6 vias","Bornero de tornillo 6 vias",si,
49,Conector,J30;J31,2,"Cabecera 6 vias 2.54 mm polarizada",THT,"JST PH 6 vias (mejor polarizacion)",-,no,"J30 debe estar retranqueado y serigrafiado SERVICE - 3V3 ONLY."
50,Cable,-,9,"Coaxial fino apantallado tipo RG-174, <=0.5 m","-","Cable de microfono 2 cond + malla",-,si,"APANTALLAMIENTO INDIVIDUAL POR CANAL OBLIGATORIO: la senal es de alta impedancia y hasta 150 V."
51,Cable,-,6,"0.75 mm2 rojo/negro","-","1.0 mm2",-,si,"Mazos de alimentacion de fila. Caida 0.067 V a 1 m."
52,Cable,-,3,"0.25 mm2 blanco","-",-,-,no,"Dato de las cadenas LED."
53,Transductor,PZ1-PZ9,9,"Disco piezoelectrico D27-35 mm con cable","-","D35 mm (mayor sensibilidad)","D20 mm",si,"MEDIR Cp y el pico en circuito abierto antes de fijar la proteccion."
54,Optoelectronica,-,72,"LED RGB direccionable 5 V, 8 por diana","-","WS2812B","SK6812 (mejor a baja corriente)",si,"60 mA en blanco maximo es hipotesis de catalogo: MEDIR."
55,Alimentacion,-,1,"Fuente externa CERTIFICADA 12 V / 3 A","-","12 V / 4 A (mas margen de inrush)",-,si,"Dosier 11.3: para prototipos, fuente externa certificada obligatoria. Carga prevista 75%."
56,PCB,-,1,"PCB principal 4 capas, cobre 1 oz min","-","2 oz (permite pistas de la mitad de anchura)","2 capas (NO recomendado: sin plano de retorno para Ethernet)",si,"4 capas necesarias para el plano de retorno de los pares Ethernet y la separacion de masas."
57,Mecanica,-,9,"Disco de policarbonato 200 mm, 2/3/4 mm","-","Metacrilato (solo prototipo visual)",-,si,"Los tres grosores se ensayan (dosier 7.3)."
58,Mecanica,-,36,"Silentblock M4 caucho Shore A 40-55","-","Arandela elastomerica","Junta de goma",si,"4 por diana. k objetivo ~2300 N/m por apoyo (fn 30 Hz)."
